player_name,player_id
pedro lucky,1
dibu messi,2
juanita white,3
julio Fabri,4
pol (-1),5
cerveza Holan,6
cerveza El Matador,7
peter paz,8
juanita Lopez,9
julio messi,10
gato (hijo),11
Mariano El Matador,12
pol medialuna,13
peter merc,14
Mariano merc,15
gon merc,16
Dona Lopez,17
salamin lucky,18
mar tiki taka,19
acdc Lopez,20
Vera ,21
pepito mantequita,22
mar jr,23
gato Closs,24
Manteca lucky,25
Luqui jr,26
Dona neymar,27
pepito ,28
josesito messi,29
Mariano tiki taka,30
marta perez,31
pepa perez,32
sr. tiki taka,33
dibu (hijo),34
pepa ssj,35
sr. martinez,36
pedro Fabri,37
acdc ,38
aaron paz,39
Pibe medialuna,40
jose el pulpo,41
dibu perez,42
dibu el pulpo,43
Mariano neymar,44
sr. Lopez,45
cerveza perez,46
dibu medialuna,47
Leo ssj,48
aaron Closs,49
Vera el pulpo,50
salamin jr,51
Dona jr,52
Vera alfajor,53
Mariano ssj,54
chiara Lopes,55
sr. Lopes,56
Luqui neymar,57
cerveza neymar,58
Pibe rodriguez,59
josesito (hijo),60
dibu lucky,61
mati rodriguez,62
Pibe alfajor,63
uwu (-1),64
mati madera,65
Pibe El Matador,66
Solsito tiki taka,67
pepa (padre),68
gato tiki taka,69
marta puntito,70
Sr El Matador,71
mar lucky,72
mar Lopez,73
Pibe jr,74
pedrito Lopes,75
Solsito el pulpo,76
sr. merc,77
gon medialuna,78
Manteca rock,79
josesito Holan,80
gato jr,81
aaron Lopes,82
mati mantequita,83
aaron white,84
Mr madera,85
pepa ,86
Sr mantequita,87
sr. medialuna,88
pol alfajor,89
peter mantequita,90
gon perez,91
el pibe Closs,92
Solsito (padre),93
Dona rodriguez,94
jose medialuna,95
marta messi,96
Vera medialuna,97
acdc tiki taka,98
Dona alfajor,99
salamin (padre),100
Dona mantequita,101
Doc. (-1),102
acdc lucky,103
Mr rodriguez,104
salamin alfajor,105
mati jr,106
aaron ,107
Mariano Lopes,108
josesito (-1),109
peter alfajor,110
juanita messi,111
peter rodriguez,112
pedrito El Matador,113
gato rock,114
Sr medialuna,115
juanita medialuna,116
uwu Lopes,117
Pablo ,118
pedro (-1),119
marta lucky,120
jose Fabri,121
salamin messi,122
Dona medialuna,123
marta madera,124
pepito Lopes,125
cerveza tiki taka,126
pepito (padre),127
gato merc,128
Doc. Lopes,129
Luqui white,130
pepa paz,131
Leo jr,132
dibu tiki taka,133
jose martinez,134
Mariano rodriguez,135
pedro messi,136
chiara neymar,137
lionel el pulpo,138
gato puntito,139
pedro tiki taka,140
salamin Closs,141
Leo El Matador,142
Pablo alfajor,143
pepa (hijo),144
